Title,Company,Location,Update Time,Minimum qualifications,Preferred qualifications,Responsibilities,About Job,Link
"Technical Program Manager, Artificial intelligence and Machine Learning",Google,"Mountain View, CA, USA
Seattle, WA, USA
",2023-01-18T17:30:52.899Z,"Bachelor's degree in Engineering, Computer Science, or equivalent practical experience.
3 years of experience in program management.
3 years of experience in Agile Software development (e.g., Scrum, Kanban, etc.).
Experience managing production machine learning software roadmaps.","Experience in software integration.
Experience in software release management.
Experience in creating simple automation and analysis scripts in Bash, Python, Apps Script, or JavaScript.
Experience in general software programming languages such as Java, C/C++, Python, Go, SQL, or TCP/IP and network programming.
Excellent communication, organizational, and analytical skills.","Work with Engineering, Program Management, and UX teams to manage the team¡¦s software workstreams with project selection, prioritization, and defining milestones to launch computer vision and machine learning features.
Build and maintain the overall software roadmap, track progress, unblock dependencies, evaluate and mitigate risks, drive deliverables with the highest quality to achieve product launch goals.
Instantiate project planning, and velocity measurement processes for a team scaling up from concept to production.
Establish collaboration and communication processes across Google Meet, Google Research, CoreML, and all other partner teams.
Drive quarterly Objective and Key Results (OKR) planning, annual planning, and drive accountability to OKR execution.","Google's projects, like our users, span the globe and require managers to keep the big picture in focus while being able to dive into the unique engineering challenges we face daily. As a Technical Program Manager at Google, you lead complex, multi-disciplinary engineering projects using your engineering expertise. You plan requirements with internal customers and usher projects through the entire project lifecycle. This includes managing project schedules, identifying risks and clearly communicating them to project stakeholders. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development with engineers.

Using your extensive technical and leadership expertise, you manage projects of various size and scope, identifying future opportunities, improving processes and driving the technical directions of your programs.
Project Starline from Google combines advances in hardware and software to enable friends, families and co-workers to feel together, even when they¡¦re cities (or countries) apart. Imagine looking through a magic window, and through that window, you see another person, life-size and in three-dimensions. As part of the Project Starline team, you'll work with researchers and engineers in a fast-paced product-oriented environment. Our teams collaborate closely with Google Workspace and Research teams. Your contributions will have an impact on the future of communications with Google products. You will apply technology to solve that really important problem that we often want to be together and we can¡¦t.
The US base salary range for this full-time position is $130,000-$201,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/100147095203128006-technical-program-manager-artificial-intelligence-and-machine-learning/?page=4
"Software Engineer, Infrastructure, Looker Production Engineering, DevOps",Google,"Dublin Ireland

",2023-01-18T16:00:44.285Z,"Experience in Site Reliability Engineering (SRE), Production Engineering, or Devops domains.
Experience in Go, Python, Java, or C++.
Experience in Kubernetes, Infrastructure as a Code, or Linux.","Experience in architecting, designing, and developing on Kubernetes platforms.
Experience in automation of operations, system integrations, or building sustainable production pipelines.
Experience with development leadership on projects and delivering projects through collaboration.
Experience with cloud providers.
Ability to execute and break down problems into simple tasks.
Ability to learn or understand emerging technologies, methodologies, or solutions in the cloud space.","Design or develop features related to orchestration, integration, and automation of multiple infrastructure services across major cloud providers to support customers.
Lead increases in performance, reliability, availability, and observability into existing functionality.
Exemplify technical excellence in collaborative planning, implementation, and review of code.
Lead technical discussions and designs in support of high quality and maintainability of systems.
Engage in and improve the whole life-cycle of services from inception and design, through deployment, operation, and refinement.","Google Cloud's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
Looker is on a mission to bring data-driven insights and decisions to every business. Looker Production Engineering or DevOps team brings Site Reliability Engineering (SRE) practices and approaches towards supporting Looker production systems.
The Production Engineering team is an integral part of Looker engineering and our team keeps the Looker production environments stable and reliable. We are distributed in 3 different timezones (e.g., United States, Ireland, India) to support our production systems.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/92010296840725190-software-engineer-infrastructure-looker-production-engineering-devops/?page=5
Regional Legal Counsel,Google,"Gurgaon, Haryana, India
",2023-01-18T15:30:51.294Z,"Bachelor's degree of Law, comparable law degree, or equivalent practical experience.
15 years of experience in litigation, advisory and regulatory within the intellectual property, financial, and technology related areas in India.","Knowledge of the product ecosystem and the broader technology industry.
Excellent problem-solving, advisory, negotiation and drafting skills.
Excellent people management, leadership, and written/verbal communication skills.","Work as part of the India Legal team advising on a wide range of legal matters relevant to the tech sector in India and the neighboring region.
Build positions on regulatory and legal matters, including advising the cross-functional teams on advocacy efforts.
Play a significant role in advising relevant teams on key risks and strategies.
Work closely with cross-functional colleagues to shape the policy and regulatory framework and to drive the continued analysis of laws to ensure alignment with compliance policies and procedures.","As Corporate Counsel at Google, you work on the most exciting legal issues as disruptive technological innovations require creative and proactive legal guidance. You're part of a whip-smart group of in-house lawyers and the projects and cases you take on challenge you to think big and differently. You are collaborative -- ready to partner in initiatives that influence all aspects of the business and work with Googlers from all over the company. As an integrated part of the team, you proactively assess legal risks and advise on products that will not only move information into the 21st century, but move information law forward as well.
In this role, you will think creatively and strategically and handle complex issues and manage projects at scale, pitch in where needed to assist businesses. You will work separately and collaboratively in a fast-paced team environment.
20th century laws don't always solve 21st century problems, and Google Legal crafts innovative approaches for working with some of the toughest legal challenges of the information age. Whether you're a patent attorney, an intellectual property expert or an engineer headed to law school, Google Legal lets you address unanswered legal quandaries and create new precedents. Our innovative services raise challenging questions that demand creative and practical answers. We provide those answers by working at the crossroads of the law and new technology, helping Google build innovative and important products for users around the world.",https://careers.google.com/jobs/results/82547487455224518-regional-legal-counsel/?page=5
"Scaled Customer Engineer, Google Cloud (Polish, French, German)",Google,"Dublin Ireland
",2023-01-18T15:30:50.753Z,"Bachelor's degree in Computer Science or equivalent practical experience.
Experience in solutions architecture within web and mobile environments.
Ability to speak and write in English and a second language fluently (Polish, French, German).","MBA or Master's degree in Computer Science or a related field.
Experience with WAN/internet-related technologies and architectures across SaaS, PaaS, IaaS, and cloud productivity suites.
Experience architecting and developing software or infrastructure for scalable and secure distributed systems, and application development technologies.
Experience with relational databases, NoSQL databases, Big Data technologies, and containers.
Experience in data and information management.","Work closely with small and medium-sized business and sales development to explore opportunities from the technical perspective and collaboratively qualify opportunities.
Take responsibility for technical aspects of solutions to include such activities as managing customer meetings, providing product demonstrations, and briefing customer executives.
Work directly with Google Cloud products to demonstrate integrations in customer environments.
Prepare and deliver product messaging in an effort to highlight Google Cloud value proposition using techniques to include slide presentations, product demonstrations, white papers, and documents.
Make recommendations on integration strategies, enterprise architectures, platforms, and application infrastructure required to successfully implement a complete solution, providing best practice advice to customers to optimize Google Cloud effectiveness.","In this role, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees, and partners.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/107563576010384070-scaled-customer-engineer-google-cloud-polish-french-german/?page=5
"Technical Program Manager Intern, Summer 2023",Google,"Taipei Taiwan
New Taipei, Banqiao District, New Taipei City, Taiwan
",2023-01-18T14:31:27.405Z,"Currently pursuing a Bachelor¡¦s, Master¡¦s, or PhD in Computer Engineering, Computer Science, Electrical Engineering, Math, or related technical field.
Experience with coding or scripting (SQL, Python, etc.).","Experience leading entrepreneurial efforts, outreach within organizations or project management experience through class projects, clubs, or internships.
Knowledge in and research experience with machine learning, data mining, information retrieval, databases, and data visualization.
Excellent project management and organizational skills.
Excellent verbal and written communication skills.",Perform specific responsibilities which vary by project area.,"As a Technical Program Manager Intern, you will lead complex, multi-disciplinary engineering projects using engineering expertise. You will plan requirements with internal customers and guide projects through the entire project lifecycle. This includes managing project schedules, identifying risks, and clearly communicating them to project stakeholders. You will explain the team's analyses and recommendations to executives and discuss the technical trade-offs in product development with engineers.
You will run Engineering-focused projects that are well-defined under supervision.",https://careers.google.com/jobs/results/75588403485123270-technical-program-manager-intern-summer-2023/?page=5
"Senior Android Software Engineer, Fitbit Device Management",Google,"Bucharest Romania
Warsaw Poland
",2023-01-18T13:30:33.758Z,"Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
Experience developing software for the Android platform using Java or Kotlin.
Experience with object-oriented programming, software design patterns, algorithms, and data structures.","Knowledge of the Kotlin programming language.
Knowledge of the Android user interface and navigation concepts.
Knowledge of the Android SDK performance profiling tools and optimization techniques.
Knowledge of embedded software development concepts and challenges.
Ability to take on ambiguous problems.","Design, develop, document, test, deploy, maintain, and improve software, working towards meeting the specific project priorities, deadlines, and deliverables.
Practice, uphold, and promote high quality and reliability standards, respect clean code principles, and implement unit and integration tests.
Collaborate with cross-functional teams to define, design, implement, and ship new features and products.
Collaborate with user experience specialists to design and build accessible and internationalized interfaces.","As a Software Engineer working in the Fitbit Device Management team, part of Google¡¦s Devices and Services Product Area, you will be responsible for developing the integration between the Fitbit hardware and the Android mobile operating system platform, laying the foundation for a helpful user experience for our customers.
Fitbit¡¦s wide range of innovative products, including smartwatches, trackers, and a smart scale, help people lead healthier, more active lives by empowering them with data, inspiration, and guidance to reach their health and fitness goals. Coupled with our leading software and Fitbit Premium, our immersive platform experience delivers personalized experiences, insights, and guidance to support our users¡¦ health and wellness. Fitbit¡¦s mission has always been to help make everyone in the world healthier and now, as part of Google we¡¦ll be able to make health even more accessible to everyone.",https://careers.google.com/jobs/results/136197871482348230-senior-android-software-engineer-fitbit-device-management/?page=5
"ISV Go-To-Market Manager, Digital Natives(English)",Google,"London UK
",2023-01-18T13:01:05.956Z,"Bachelor's degree or equivalent practical experience.
Ability to speak and write in English fluently.
Ability to travel 10% of the time as required.","Experience in building scalable partner ecosystems with Independent Software Vendors (ISVs) and technology partners.
Understanding of foundational cloud technologies (e.g. network, compute, database, middleware, virtualization).
Understanding of IaaS/PaaS/SaaS markets and B2B software ecosystem and lifecycle; experience with cloud-based technologies.
Existing relationships with Cloud/IaaS vendors and industry knowledge of System Integrators (SIs), Service Providers (SPs) and ISVs.
Excellent partner pipeline development and management skills, with ability to present go-to-market strategies, results, and analysis.
Excellent communication skills, including experience presenting to C/VP level audiences.","Work closely with the Digital Natives UKI sales organization, build a go-to-market strategy aimed at maximizing the success of our ISV Partners in the field, and own the cross-functional relationship with internal stakeholders to ensure go-to-market alignment.
Be accountable to the partner growth metrics established in the joint GTM plans. Identify new opportunities for partners and sales, channel, and product teams. 
Help partners grow their Google practice and product portfolio through joint development of solutions and services.
Manage the performance of the B2B Digital Natives, and map partner capabilities to Google¡¦s priorities to achieve strategic business goals.
Define customer-centric and industry-specific use cases with Google¡¦s ISV partners and leverage Google¡¦s service (GSI and SI) partners to extend the reach of joint solutions.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
In this role, you'll work with Google Cloud¡¦s strategic UKI headquartered Business-to-Business Digital Native ISVs. You will maximize the joint success of these partnerships by driving internal and external awareness. You will plan and execute joint go-to-market campaigns, events, and you will be accountable for the co-sell pipeline with the strategic B2B Digital Natives headquartered in the UKI region.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/130134350705369798-isv-go-to-market-manager-digital-nativesenglish/?page=5
"Field Sales Manager, Google Cloud",Google,"Hong Kong
",2023-01-18T13:01:04.392Z,"Bachelor's degree or equivalent practical experience.
15 years of experience in technology sales with 5 years of experience selling cloud computing solutions.
5 years of experience in sales leadership managing a team and attracting growing talent.","Experience leading teams that consist of multiple levels of management (e.g., teams that have scaled and a magnet for talent).
Experience leading large-scale businesses with the ability to work with high levels of ambiguity and complexity as the business evolves.
Understanding of how various cloud technologies work together to be able to drive technology adoption within the existing account base.
Ability to build a high-performing Sales team and an excellent team culture.
Ability to build a business or new markets from scratch.
Ability to develop successful long-term strategic relationships with key accounts.","Lead and implement complete go-to-market propositions in a given business sector, pulling together Marketing, Demand Management, Solutions, Product, and Engineering teams to produce a focused proposition to prospects and customers.
Build and maintain relationships to influence long-term strategic direction, and act as a trusted advisor to the customer.
Work with the Google Cloud Account teams to develop and drive pipeline, and provide guidance, as well as with Google Cloud Partners to develop campaigns. Build a pipeline of customers within selected industries.
Collaborate with Google sales engineering and marketing resources, providing input on current collateral materials and ideas on how to improve them to maximize Google Cloud Platform in a given team. Achieve quarterly business growth goals.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Field Sales Manager for Google Cloud, you will have the opportunity to help build Google next big business, and to define the future of truly ground-breaking technology. In this role, you'll build and manage a team of Sales Representatives, working to drive awareness, adoption, and business growth for Google public cloud in relation to assigned enterprise accounts. You'll also participate actively in all aspects of building the business, including attainment of assigned strategic objectives, business planning, demand generation, new account engagement and acquisition, and account-based marketing activities.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/99735465537479366-field-sales-manager-google-cloud/?page=5
"Firmware Engineer, Radio Frequency Software, Pixel Mobile Wireless",Google,"Xindian District, New Taipei City, Taiwan
",2023-01-18T12:00:33.582Z,"Master's degree in Communications, Electrical Engineering, or a related field or equivalent practical experience.
3 years of experience with 3GPP/3GPP2 standards.
Experience in modem LTE/NR RF/antenna/desense issue analysis and debugging.
Experience in C/C++ and embedded RTOS.","3 years of experience with modem LTE/NR RF design and implementation.
Understanding of 3GPP LTE/NR L1 standards and 3GPP TS 34.121, 36.521-1, 38.521-1 RF test cases.
Understanding the RF architecture (e.g., software and hardware) and related features (e.g., antenna switch, tuner and SAR).
Familiarity with test equipment for non-signaling tests (e.g., CMW 100, oscilloscope, spectrum analyzer) and signaling tests (e.g., Anritsu 8821, CMW 500, UXM).","Develop RF configuration and driver, and validate the function and performance of modem RF features.
Debug, analyze, and fix modem RF issues from bring-up, factory (e.g., SMT, FATP), certification (e.g., GCF/PTCRB/IOT), field testing, and customers.
Work with Software/Hardware teams to deliver high-quality Pixel modem.
Work with RF Software RFFE control driver (e.g., MIPI-based, GPIO-based) development.
Design review with RF hardware in terms of front-end schematic, block diagram for standalone/CA/ENDC cases.","****Use this template only when existing Role Templates don't apply. For one-off use cases, not ongoing roles. If you need to create a NEW template for your team submit a request at go/jdreview.****
As a Firmware Engineer on the Layer 1 Radio Frequency (RF) Software team, you¡¦ll focus on the RF configuration and driver, including the development, integration, customization, and performance enhancement of modem RF on Android devices, working closely with Pixel Software/Hardware teams, original equipment manufacturers (OEM) and vendors.

In this role, you'll be the point of contact for all debugging, analyzing, and fixing modem RF issues from bring-up, factory, certification (e.g., GCF, PTCRB, IOT), field testing and customers. You'll also be responsible for validating the function and performance of RF features. In this team, you'll have the opportunity to expand your domain knowledge vertically (i.e. from antenna/RF to protocols) and understand the modem from the viewpoint of the system. You will also be encouraged to propose your innovative and practical ideas to optimize the RF performance.
Making the world's information universally accessible and useful doesn't stop at the desktop. The Mobile team builds tools to get you the information you need no matter where you are. Android has become the world's most popular mobile ecosystem, powering billions of devices, from smartphones to tablets, watches to TVs and everything in between. Whether adding to the core Android experience, forging new markets for digital content, creating immersive and portable versions of our products or managing relationships with a global community of developers, the Mobile team is giving you Google on the go.",https://careers.google.com/jobs/results/81446326560006854-firmware-engineer-radio-frequency-software-pixel-mobile-wireless/?page=5
"Logistics Project Manager, Global Server Operations",Google,"Atlanta, GA, USA
Papillion, NE, USA
New Albany, OH, USA
",2023-01-18T09:30:44.158Z,"Bachelor's degree in Business, Logistics, Operations, Engineering, a related field or equivalent practical experience.
5 years of experience managing warehousing, manufacturing, or supply chain operations.","Master's degree or MBA in a related field.
Certification in Project management.
Experience managing operations in multiple locations simultaneously.
Success in operations management, problem solving, third-party logistics vendor relationships, budget creation, and cost management.
Effective analytical skills, with the ability to apply structured thinking and logic to your work and provide solutions to challenges.","Create, lead, and support cross-functional company initiatives/projects.
Solve logistics challenges with speed and accuracy, defining new processes and improvements globally. Drive alignment and prioritization of initiatives in a fast-paced environment with many interdependencies.
Manage third-party logistics partners with associates on their teams dedicated to our account. Manage and monitor metrics for key performance indicators (KPIs), vendor performance scorecards, and development of business cases to support logistics process changes and/or improvements.
Manage relationships with multiple internal customers at data centers. Manage quarterly budgets, invoice control, and capital improvement projects within your locations.
Recognize improvement opportunities to the cost and/or quality of services to be provided. Be proactive in turning these thoughts into a documented business case, present the business case to your peers and management for approval, and provide ongoing project management.","Google's custom-designed machines make up one of the largest and most powerful computing infrastructures in the world, and the Global Logistics team procures and manages the resources that power our immense collection. As a part of this team, you apply your knowledge of supply chain principles and your problem solving prowess to key logistics processes (managing vendors, shipping & receiving, inventory management, warehousing & distribution, transportation, etc.). Your diligence ensures the global delivery and life cycle management of network equipment is timely and efficient. You help the networking material supply chain by understanding the unique needs of the deployment team and defining best practices across multiple cross-functional teams. The end result of your work is the delivery of Google's products and services to millions of users around the world.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
Salary Range Info:
The US base salary range for this full-time position is $96,000-$146,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/129008450798527174-logistics-project-manager-global-server-operations/?page=5
"Associate Software Engineer, gReach Program for People with Disabilities",Google,"Beijing China
Shanghai China
",2023-01-18T08:31:09.721Z,"Bachelor's degree in Computer Science, Electrical Engineering, a related technical field or equivalent practical experience.
Experience in foundation of computer science, such as data structures, algorithms and software design.
Experience with programming in C++, Java, JavaScript, or Python.
Ability to speak and write in English fluently.","Experience of programming in C, C++, Java and/or Python.","Work on a technical project to build solutions and gain exposure to scale and complexity.
Develop technical skills, build confidence in abilities, and prepare for a career in computer science.
Create and support a productive and innovative team, including working with peers, managers, and teams.
Develop scripts to automate routine tasks.
Analyze information and evaluate results to choose the best solution to effectively solve real-world problems.","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google¡¦s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
The gReach Program is a 12 months paid up-skilling program for students and industry professionals with disabilities and vocation support candidates with a certificate issued by government. Participants will receive on-the-job-training and work on a range of projects. gReach Associates will be placed in teams across the business such as Device and Services, Software, Advertising Sales, User Support, Market HR, and Google Cloud.

*IMPORTANT* : This role is exclusively for people who have government-issued disability certificate.

gReach Associates will have the opportunity to be exposed to career opportunities at Google and further develop professional skills. Associates will learn to make an impact by working with teams on business-critical projects and collaborating with Googlers across a variety of functions.
Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.",https://careers.google.com/jobs/results/75299706520904390-associate-software-engineer-greach-program-for-people-with-disabilities/?page=5
"Field Sales Representative, Public Sector, Google Cloud",Google,"Canberra ACT Australia
",2023-01-18T08:00:32.401Z,"Bachelor's degree or equivalent practical experience.
10 years of experience in Public Sector Enterprise Sales.
Experience of working in Federal Government at Executive-Suite levels.
To meet federal government security criteria Australian Citizenship is an essential requirement for this role.","Experience working with and managing partners on complex implementation projects, including global system integrators and packaged software vendors.
Understanding of Cloud Procurement, Assurance and Compliance requirements for the Federal Government including iRAP, HCF and DISP.
Ability to work with sales engineers and customer¡¦s technical leads to inventory existing software estate, define migration plans, and build business cases for migrations.","Lead and develop the strategic enablement and capability of Google Cloud focused on Defence and Intelligence customers.
Lead business development and cross-functional alignment to support large transformation programs in the Australian Federal Government.
Work closely with Google Partners to accelerate adoption of Google Cloud.
Drive business development, forecast accurately, and achieve strategic goals by leading customers through the entire business cycle.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As part of the Public Sector team, you will play a key role in leading Federal Government accounts with a specific focus on the Department of Defence and the Australian Intelligence Community. You will work closely with Google Partners, lead cross functional teams, and be responsible for developing and owning strategy to enable the market, and to identify and pursue opportunities to win transformational programs of work. You will be a natural builder with a passion for technology, working with the latest Google Cloud solutions for Data, Security and Collaboration solutions.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google¡¦s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.",https://careers.google.com/jobs/results/99218413752066758-field-sales-representative-public-sector-google-cloud/?page=5
"Startup Success Manager, Scaled, Google Cloud (English, French)",Google,"Paris France
",2023-01-17T20:30:36.677Z,"Bachelor's degree or equivalent practical experience.
Experience in technology sales or customer success.
Ability to speak and write in English and French fluently.","Experience in sales, customer success, or account management in the cloud industry.
Ability to speak credibly about platform and infrastructure-as-a-service with founders and CTOs.
Ability to build influential relationships and deliver results in a cross-functional environment with excellent communications skills.
Passion for startups and the local startup ecosystem.","Understand startup opportunities and challenges, and communicate effectively on these topics with Founders, Chief Technology Officers (CTOs), Board members, etc.
Onboard high-potential early- to mid-stage startups to the Google for Startups Cloud Program.
Lead engagement, and nurture and drive growth of these startups by identifying new cloud workload opportunities.
Design and deliver compelling narratives that accelerate adoption of cloud solutions through partnering with Customer Engineers, Product teams, and the extended Sales team.
Develop and refine the Google Cloud message to startups, collaborating closely with Cloud VC Business Development and Marketing.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Scaled Startup Success Manager (SSM), you will help startups successfully adopt Google Cloud products. You will engage with early stage Digital Natives to onboard them to the Google for Startups Cloud Program and nurture them for the duration of the program. You will regularly engage with diverse stakeholder groups to drive success for startups as they adopt Google Cloud services. You will also help shape and execute on Google Cloud¡¦s growth plans for the startup ecosystem. This includes working alongside Cloud Venture Capital (VC) Business Development, Marketing, Google for Startups, Developer Relations, and other key stakeholders to grow brand awareness in the market.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/102155467007894214-startup-success-manager-scaled-google-cloud-english-french/?page=5
"Logistics Project Management Lead, Global Server Operations",Google,"Atlanta, GA, USA
Leesburg, VA, USA
",2023-01-17T20:00:45.131Z,"Bachelor's degree in Business, Logistics, Operations, Engineering, a related field, or equivalent practical experience.
5 years of experience managing warehousing, manufacturing, or supply chain operations.","MBA or Master's degree in a related field.
Experience managing operations in multiple locations simultaneously.
Experience in operations management, problem-solving, third-party logistics vendor relationships, budget creation, and cost management.
Excellent analytical skills, with the ability to apply structured thinking and logic to your work and provide solutions to challenges.","Create, lead, and support cross-functional company initiatives/projects.
Solve logistics challenges with speed and accuracy, defining processes and improvements globally. Manage quarterly budgets, invoice control, and capital improvement projects.
Manage third-party logistics partners with associates on their teams dedicated to our account. Manage and monitor metrics for Key Performance Indicators (KPIs), vendor performance scorecards, and development of business cases to support logistics process changes or improvements.
Manage relationships with multiple internal customers at data centers. Drive alignment and prioritization of initiatives in a fast-paced environment with many interdependencies.
Recognize improvement opportunities to the cost and/or quality of services to be provided. Be proactive in turning these thoughts into a documented business case, present the business case to peers and management for approval, and provide ongoing project management.","As the Logistics Project Management Lead on the Global Server Operations team, you will lead a series of simultaneous projects. You will be the advocate for Global Server Operations Logistics and cross-functional teams exploring and implementing change management to reduce lead time or expense. Projects you could work on include software changes, standard operating procedure development, material handling, testing and integration, escalation management, and business case development. You will own projects through their lifecycle, from scoping and feasibility to approval, through detail planning and implementation into close out and lessons learned.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
The US base salary range for this full-time position is $96,000-$146,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/99107620775699142-logistics-project-management-lead-global-server-operations/?page=5
